Feature,Accuracy_Without,Accuracy_Drop
wind_mean,0.9139272913466462,0.0700972862263185
solar_mean,0.9680491551459293,0.015975422427035424
pop_mean,0.9776241679467486,0.00640040962621613
dist_roads_mean,0.9808499743983614,0.0031746031746032743
dist_trans_mean,0.9840245775729647,0.0
dist_sub_mean,0.9840245775729647,0.0
constraint_pct,0.9840245775729647,0.0
